name, transfer_to_dpu, dpu_run, transfer_from_dpu, final_combine, total
filter_multiples, 62945.788900, 120870.288300, 488.017200, 139825.728800, 324129.823200
dedup, 56873.958000, 220241.628700, 171731.118100, 1.137800, 448847.842600
select, 59519.157600, 3353.433400, 412.614600, 138881.173900, 202166.379500
histogram_small, 36033.949100, 3860.216100, 984.723400, 1410.760500, 42289.649100
maxima, 19758.639100, 34635.174200, 1016.491200, 2477.955500, 57888.260000
sum_reduce, 35869.375200, 1708.421000, 462.215800, 984.004800, 39024.016800
output: 100000000
prime_sieve, 2500.878400, 19175.412300, 678.161400, 4653.956600, 27008.408700
histogram_large, 35004.493600, 7852.726800, 3607.049200, 2184.933600, 48649.203200
combine_add, 69531.446200, 3327.767500, 475.383200, 1149.328700, 74483.925600
vector_add, 118550.736500, 3573.307700, 243436.576400, 1.345400, 365561.966000
map_only, 61521.250800, 14655.999000, 244570.440100, 1.398000, 320749.087900
