name, transfer_to_dpu, dpu_run, transfer_from_dpu, final_combine, total
filter_multiples, 61000.743400, 120548.122500, 533.053600, 140173.594700, 322255.514200
dedup, 59856.445100, 261458.319400, 173225.282800, 1.007000, 494541.054300
select, 61217.658500, 3434.353800, 453.247000, 140972.745800, 206078.005100
histogram_small, 36713.524700, 3225.235700, 905.159800, 1303.597400, 42147.517600
maxima, 19731.689400, 34481.758700, 970.648500, 1577.825400, 56761.922000
sum_reduce, 41270.033800, 2265.437500, 575.804800, 1316.285300, 45427.561400
prime_sieve, 2389.839700, 19165.836400, 534.964200, 3335.972000, 25426.612300
histogram_large, 34800.993100, 4814.677200, 3491.646900, 2071.758300, 45179.075500
combine_add, 70466.423200, 3319.701200, 516.350300, 1261.481900, 75563.956600
vector_add, 118025.928500, 3677.124600, 242139.874000, 1.283700, 363844.210800
map_only, 62403.499400, 14602.772000, 244321.469400, 1.503400, 321329.244200
