name, cpu -> dpu, dpu compute, dpu -> cpu, combine, total
histogram_large, 2592.690000, 2817870.360000, 1147.480000, 18.960000, 2821629.490000
histogram_small, 1912.890000, 743629.760000, 1009.550000, 14.670000, 746566.870000
sum_reduce, 5813.820000, 790991.490000, 997.240000, 0.670000, 797803.220000
select, 3846.570000, 437817.920000, 12185.670000, 0.770000, 453850.930000
vector_add, 1595.080000, 161399.440000, 820.570000, 0.400000, 163815.490000
